,APUBLDP_C22,APUBLDP_C32,APUBLDP_C42,APUBLDP_C52,APUCYCNB_A10,APUDCM_B11,APUDCM_B21,APUDCM_B30,APUDMD_C22,APUDMD_C32,APUDMD_C42,APUDMD_C52,APUDP_C21,APUDP_C31,APUDP_C41,APUDP_C51,APUDP_D10,APUDUMES_C21,APUDUMES_C31,APUDUMES_C41,APUDUMES_C51,APUEGTC_B10,APUEGTC_B20,APUEGTC_C21,APUEGTC_C31,APUEGTC_C41,APUEGTC_C51,APUEGTC_D10,APUFF_C21,APUFF_C31,APUFF_C41,APUFF_C51,APUFF_D10,APUFIB_B10,APUFIB_B20,APUFPLO_B20,APUGEN1_C22,APUGEN1_C32,APUGEN1_C42,APUGEN1_C52,APUGEN1_D11,APUGEN1_E10,APUGEN2_C22,APUGEN2_C32,APUGEN2_C42,APUGEN2_C52,APUGEN2_D11,APUGOIT_B10,APUGOIT_B20,APUGOIT_C22,APUGOIT_C32,APUGOIT_C42,APUGOIT_C52,APUGOIT_D11,APUHR_A10,APUIT_B10,APUIT_B20,APUIT_C21,APUIT_C31,APUIT_C41,APUIT_C51,APUIT_D10,APUN1_B10,APUN1_B20,APUN1_C21,APUN1_C31,APUN1_C41,APUN1_C51,APUN1_D10,APUN2_B10,APUN2_B20,APUN2_C21,APUN2_C31,APUN2_C41,APUN2_C51,APUN2_D10,APUOIT_B10,APUOIT_B20,APUOIT_C22,APUOIT_C32,APUOIT_C42,APUOIT_C52,APUOIT_D11,APUP1_C21,APUP1_C31,APUP1_C41,APUP1_C51,APUP1_D10,APUST_B10,APUST_B20,APU_1_C23,APU_1_C33,APU_1_C43,APU_1_C53,APU_2_C23,APU_2_C33,APU_2_C43,APU_2_C53,APU_C30,APU_C40,APU_C50,BATTC_B21,BATTVMON_B21,BKPSTC_B21,BLEED_STATUS_10_C23,BLEED_STATUS_10_C33,BLEED_STATUS_10_C43,BLEED_STATUS_10_C53,BLEED_STATUS_11_C23,BLEED_STATUS_11_C33,BLEED_STATUS_11_C43,BLEED_STATUS_11_C53,BLEED_STATUS_12_C23,BLEED_STATUS_12_C33,BLEED_STATUS_12_C43,BLEED_STATUS_12_C53,BLEED_STATUS_13_C23,BLEED_STATUS_13_C33,BLEED_STATUS_13_C43,BLEED_STATUS_13_C53,BLEED_STATUS_1_C23,BLEED_STATUS_1_C33,BLEED_STATUS_1_C43,BLEED_STATUS_1_C53,BLEED_STATUS_2_C23,BLEED_STATUS_2_C33,BLEED_STATUS_2_C43,BLEED_STATUS_2_C53,BLEED_STATUS_3_C23,BLEED_STATUS_3_C33,BLEED_STATUS_3_C43,BLEED_STATUS_3_C53,BLEED_STATUS_4_C23,BLEED_STATUS_4_C33,BLEED_STATUS_4_C43,BLEED_STATUS_4_C53,BLEED_STATUS_5_C23,BLEED_STATUS_5_C33,BLEED_STATUS_5_C43,BLEED_STATUS_5_C53,BLEED_STATUS_6_C23,BLEED_STATUS_6_C33,BLEED_STATUS_6_C43,BLEED_STATUS_6_C53,BLEED_STATUS_7_C23,BLEED_STATUS_7_C33,BLEED_STATUS_7_C43,BLEED_STATUS_7_C53,BLEED_STATUS_8_C23,BLEED_STATUS_8_C33,BLEED_STATUS_8_C43,BLEED_STATUS_8_C53,BLEED_STATUS_9_C23,BLEED_STATUS_9_C33,BLEED_STATUS_9_C43,BLEED_STATUS_9_C53,IGV_B10,IGV_B20,IGV_C21,IGV_C31,IGV_C41,IGV_C51,IGV_D10,INTSUP_B21,SCV_B10,SCV_B20,SCV_C21,SCV_C31,SCV_C41,SCV_C51,SCV_D10,STCMON_B11,STCMON_B21,STC_B11,STC_B21,Failure_4962W010
1323252424,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.8528460542778982,0.0,3.452819570164885,-1.2356469526468932,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.19766740121896928,0.0,0.0,0.0,0.0,0.10299757638132788,-3.673745208184372,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.05019396112924409,-0.537304479239004,-0.5007954388732596,1.0,1.0,0.002110302851712065,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,-2.670722854385167,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,0.46623918484609833,0.4995284274837521,-1.5257048159366893,0.413802944300995,-1.0,-1.0,-2.062956319413163,-1.9447766463307914,0.05945527428472671,-0.24118044536246425,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.5652364813810392,0.0,-3.204979610427207,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,-3.4966492320216225,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.15589732727108438,0.2539681114281184,-0.08405117786238744,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-1.8679041923349078,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.8529642048940664,-1.852913477737695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.598610843089308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,3.0160524408847427,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.25054575477514535,0.0,0.20130856477599038,1.733220453972286,1.5207028615967773,0.3535111105209708,0.0,-1.0,0.7045769068327277,0.30678599553894925,3.598610843089308,0.0,3.6992175559590588,1
1323377901,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.8528460542778982,0.0,-0.26953561849992214,-1.1149799943730103,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.19766740121896928,0.0,0.0,0.0,0.0,-0.6093394645522953,-3.9777920383578937,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.05019396112924409,-0.537304479239004,-0.5007954388732596,1.0,1.0,0.002110302851712065,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,-4.88672783988245,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-0.953380831202563,-1.0976900908146232,-1.5257048159366893,0.413802944300995,-1.0,-1.0,-2.062956319413163,-1.9447766463307914,-0.5939960095717496,-1.2280592476639967,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.5652364813810392,0.0,-3.204979610427207,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,-3.7290926763232743,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.15589732727108438,-0.5177183787193073,-0.818373628177249,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-1.8679041923349078,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.8529642048940664,-1.852913477737695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.598610843089308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6035667705099383,2.750213912746104,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.25054575477514535,0.0,0.20130856477599038,1.364787306042175,1.5207028615967773,0.3535111105209708,0.0,-1.0,0.7045769068327277,0.30678599553894925,3.598610843089308,0.0,-0.2703274367816235,1
1323378830,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.8528460542778982,0.0,-0.26953561849992214,0.3933569840505249,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.19766740121896928,0.0,0.0,0.0,0.0,-0.6740973773644428,0.16649845118119921,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.05019396112924409,-0.537304479239004,-0.5007954388732596,1.0,1.0,0.002110302851712065,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,-0.4547178688878838,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-0.9135210899312183,-0.974564038012179,-1.5257048159366893,0.413802944300995,-1.0,-1.0,-2.062956319413163,-1.9447766463307914,-0.47080437409061054,-0.6359319662830772,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.5652364813810392,0.0,0.3675471971245731,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.3044847394995075,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.15589732727108438,-0.535417610144707,-0.8664134146464455,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-1.8679041923349078,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.8529642048940664,-1.852913477737695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59758235198436,-0.2736993448309066,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.25054575477514535,0.0,0.20130856477599038,1.364787306042175,1.5207028615967773,0.3535111105209708,0.0,-1.0,0.7045769068327277,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,1
1323383813,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.847576116064738,0.0,-0.26953561849992214,0.2726900257766421,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.19766740121896928,0.0,0.0,0.0,0.0,3.1789984349583364,0.13344988268407726,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.06706638902690563,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.2711973642547117,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,1.5976426101634982,1.6452847521731648,-1.5257048159366893,0.413802944300995,-1.0,-1.0,-0.1183064011581058,-1.9443081270182907,0.7450435065275871,0.17725616681338555,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.6051936558423834,0.0,0.3498614208495643,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.29081159571705756,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.15589732727108438,2.1336264888055636,1.8032261477131912,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-0.527235291333148,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.8476947722258812,-1.8476440640033915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585613514933202,-0.3401589768655665,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,0.20130856477599038,1.1805707320771186,1.5207028615967773,0.3535111105209708,0.0,-1.0,-0.0050871978833699144,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,1
1323564789,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.8300096553542036,0.0,-0.26953561849992214,0.2726900257766421,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.3113771021263742,0.0,0.0,0.0,0.0,-0.4636341607249632,0.06735274568983335,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.08393881692456719,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.2944575912424929,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-0.6528997046955028,-0.6872699148064755,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.45624925650816084,-1.9277537779766016,-0.7064753289240938,-0.8490977875802082,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.8948831706871275,0.0,0.2861926262595327,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.2862538811229071,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.1486613674792646,-0.7584279261047429,-0.650234375535061,-1.4604197134725188,0.4974248755836147,0.0,-1.0,0.001079148468392738,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.830129996665263,-1.8300793515557134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.30692916084823685,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.25054575477514535,0.0,-0.5229774672258077,-0.6615950075734339,1.5207028615967773,0.3535111105209708,0.0,-1.0,-0.0050871978833699144,-3.2596012026013343,-0.27788500718836356,0.0,-0.2703274367816235,0
1323682251,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.8212264249989363,0.0,-0.26953561849992214,0.21235654663970066,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.42508680303377816,0.0,0.0,0.0,0.0,0.23251340200562298,0.08718188678810651,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.033321533231582545,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.31626405404353736,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,0.60421521232383,0.5713519582851778,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.45624925650816084,-1.9140105448099167,-0.23513341925712727,-0.5411916012621301,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.6851080047650712,0.0,0.2968040920245379,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.29536931031120733,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.16313328706290417,-0.050458669088755945,0.36203255363729464,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-0.08413285795121062,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.821347608884954,-1.8212969953318745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.3235440688569014,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,2.6375433996911295,-0.8458115815384895,1.5207028615967773,0.3535111105209708,0.0,-1.0,-0.0050871978833699144,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,0
1323912490,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.803659964288402,0.0,-0.26953561849992214,0.5140239423244077,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.3113771021263742,0.0,0.0,0.0,0.0,-0.8198026811917748,0.13344988268407726,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.06706638902690563,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.2835543598419706,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-1.2477296898217238,-1.2686984974846849,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.35312388205524176,-1.8980808881848952,-0.9849955482727559,-1.0148934263668656,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.8049795281491036,0.0,0.3286384893195539,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.2999270249053577,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.15589732727108438,-1.0805539380470168,-1.2061233332500496,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-0.2715992720743378,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.8037828333243362,-1.8037322828841964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.2736993448309066,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,-0.5229774672258077,-0.6615950075734339,1.5207028615967773,0.3535111105209708,0.0,-1.0,0.7045769068327277,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,0
1324285321,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.775553627151547,0.0,-0.26953561849992214,0.2726900257766421,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.3113771021263742,0.0,0.0,0.0,0.0,0.3458397494268812,0.18632759227947238,-1.5759899658578012,0.5001417686869545,0.0,0.0,0.06791303415438672,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.39840173059413797,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.6532846238607578,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,1.116259580963412,1.0775368420285603,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.13214093679898528,-1.8521659955598337,1.3181524194181031,0.7851735090311295,-0.6453751443059891,0.4999275424775811,0.0,1.0,0.004153254693113201,0.0,0.3604728866145695,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.33638874165855787,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.19931308602200512,0.9336185981634658,1.0448838041637316,-1.4604197134725188,0.4974248755836147,0.0,-1.0,0.001079148468392738,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.7756791924273474,-1.7756287429679114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.3235440688569014,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,0.20130856477599038,1.364787306042175,1.5207028615967773,0.3535111105209708,0.0,-1.0,-0.0050871978833699144,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,0
1324350314,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.7702836889383868,0.0,-0.26953561849992214,0.3933569840505249,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.3113771021263742,0.0,0.0,0.0,0.0,-0.5607710299431845,0.14005959638350163,-1.5759899658578012,0.5001417686869545,0.0,0.0,0.00885953651257132,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.2770124210016574,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-0.870595214715924,-0.8856396665437469,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.45624925650816084,-1.846543763809826,-0.8457354385984248,-0.9043630005090939,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.6551401239190634,0.0,0.3604728866145695,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.29536931031120733,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.17036924685472496,-0.8540037758019011,-0.8492563480503039,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-0.14662166265892024,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.770409759759162,-1.770359329233608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.2736993448309066,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,-0.588821651953244,-0.6615950075734339,1.5207028615967773,0.3535111105209708,0.0,-1.0,-0.0050871978833699144,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,0
1324386779,1.7742265335213019,0.23934290400354594,1.0,0.0,-1.7667703967962798,0.0,-0.26953561849992214,0.2726900257766421,0.0,0.0,0.0,0.0,-1.5027027137745386,-0.3529489192096684,1.0,-1.0,0.3113771021263742,0.0,0.0,0.0,0.0,-0.5122025953340739,0.10040131418695529,-1.5759899658578012,0.5001417686869545,0.0,0.0,-0.008012891385090226,-0.537304479239004,-0.5007954388732596,1.0,1.0,-0.2646554254143985,-0.059976014390406764,-0.059976014390406764,-0.08497185773241743,-0.8197615271059897,0.5011198222313544,0.0,0.0,0.20259510388803387,0.09928337748643701,0.08112397355476843,0.4718098691987828,0.0,0.0,0.20259510388803387,-0.7755450624534866,-0.8103959676089199,-1.5257048159366893,0.413802944300995,-1.0,-1.0,0.4046865692817018,-1.8446696865598233,-0.8082423321476434,-0.8569928179986204,-0.6453751443059891,0.4999275424775811,0.0,1.0,-0.6851080047650712,0.0,0.2861926262595327,-0.20259510388907684,0.0,0.0,0.0,0.19268375803708185,0.0,0.29536931031120733,-0.9747874628623542,0.49509534419490203,1.0,-1.0,0.17036924685472496,-0.7584279261047429,-0.7566081884311392,-1.4604197134725188,0.4974248755836147,0.0,-1.0,-0.18638726565473449,0.6427307487533832,-0.5011198222312434,1.0,1.0,0.8507860178150565,-1.7668968046470384,-1.7668463867440722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27788500718836356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405901765821245,-0.30692916084823685,0.5563508379619697,-0.5005926644756887,-1.0,-1.0,-0.278273745882747,0.0,-0.5229774672258077,-0.6615950075734339,1.5207028615967773,0.3535111105209708,0.0,-1.0,0.7045769068327277,0.30678599553894925,-0.27788500718836356,0.0,-0.2703274367816235,0
